placekey,safegraph_place_id,brands,location_name,street_address,city,region,postal_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts
zzw-223@5q9-9zk-8gk,sg:b960d0276d274e73b8a25873dfa88871,The Home Depot,The Home Depot,860 S Colorado Blvd,Glendale,CO,80246,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,1800.0,1098.0
226-222@627-s8h-vcq,sg:0a51c4909a324632a02ea297c5d6f187,The Home Depot,The Home Depot,40 W 23rd St,New York,NY,10010,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,478.0,375.0
zzw-222@8f3-xbc-tgk,sg:14c512837fe44c87aa45e8aa43d2c8ae,Lowe's,Lowe's,6004 U S Highway 98,Hattiesburg,MS,39402,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,4280.0,2750.0
zzy-222@8tm-pc5-4qf,sg:46c787c689374391978df59fa56a7431,The Home Depot,The Home Depot,1220 Renaissance Blvd NE,Albuquerque,NM,87107,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,2656.0,1648.0
222-222@5qs-zjq-9s5,sg:75feabc10fdf4edeb76e50fce292e25f,The Home Depot,The Home Depot,3040 NW 59th St,Oklahoma City,OK,73112,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2178.0,1335.0
222-222@63s-7p3-26k,sg:9f526f60379b464ba93e615a1b726ea3,Lowe's,Lowe's,561 Hepburn Rd,Avondale,PA,19311,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2025.0,1200.0
222-222@8g9-m78-8jv,sg:94e7979fc3254b2c81c8d34db040cf50,Lowe's,Lowe's,1098 Hunters Xing,Alcoa,TN,37701,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2982.0,1553.0
zzy-222@5z5-ms5-8n5,sg:99dffe7cc2c144a4b7ee2b46239186da,The Home Depot,The Home Depot,1100 L Avenue,Barstow,CA,92311,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1468.0,794.0
222-222@63g-4cm-jvz,sg:c0f2a278781040b78a31caad42420118,Lowe's,Lowe's,5901 University Pkwy,Winston Salem,NC,27105,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3401.0,2047.0
222-222@5z5-wmp-r6k,sg:d3a66fe4b3204bbdb40716cea4a27ce2,The Home Depot,The Home Depot,725 Plaza Ct,Chula Vista,CA,91910,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,3203.0,1707.0
